文章时间,文章ID,文章内容,转发内容,点赞数量,分享数量,评论数量,文章链接,文章内链
2018-04-05 16:45:46+00:00,15087023444_10156012418158445,"When Tiger Woods plays golf, the world watches. Welcome Back.",,60116,13262,2608,https://www.facebook.com/nike/videos/10156012418158445/,
2018-03-01 15:02:18+00:00,15087023444_10155886264428445,"When our world gets stuck, there’s only one option - #ChooseGo.

Nike.com/ChooseGo",,12984,4585,1006,https://www.facebook.com/nike/videos/10155886264428445/,
2018-02-16 20:19:46+00:00,15087023444_10155846581253445,"Age is just a number until you’re number one. 
Roger Federer",,14484,8015,931,https://www.facebook.com/nike/videos/10155846581253445/,
2018-02-15 17:52:17+00:00,15087023444_10155843350358445,"Welcome to All-Star Weekend in Los Angeles.
⠀⠀ ⠀
This weekend, we celebrate the makers of the game. Those who revolutionize sport and culture, and do it like it’s never been done before. From the legacy of Kobe Bryant to those inventing the future, we are #MakersOfTheGame. #NBAAllStar",,3647,448,224,https://www.facebook.com/nike/videos/10155843350358445/,
2018-01-28 11:40:16+00:00,15087023444_10155790703238445,"Outplay yourself.

Roger Federer, Melbourne's defending champion and holder of 19 major titles, just beat his own record, by winning 20. #justdoit","Nike is in Melbourne, Victoria, Australia.",13981,821,380,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155790686743445/?type=3,
2017-12-08 15:59:20+00:00,15087023444_10155640797723445,"MJ never lost, he learned. #WinLike96",,33001,6336,1241,https://www.facebook.com/nike/videos/10155640797723445/,
2017-11-22 00:01:56+00:00,15087023444_10155589061873445,"Some things are NY made.
Others were made for NY.
Odell Beckham Jr x #AF1",,5229,332,343,https://www.facebook.com/nike/videos/10155589061873445/,
2017-11-08 23:27:41+00:00,15087023444_10155551912958445,The moment Mike Jordan became Michael Jordan. #WinLike82,,12823,1900,491,https://www.facebook.com/nike/videos/10155551912958445/,
2017-11-07 01:10:33+00:00,15087023444_10155546415988445,Only you can cross your finish line. Congrats Kevin Hart for Breaking 26.2 at #TCSNYCMarathon,Nike is at TCS New York City Marathon.,9254,256,264,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155546410623445/?type=3,
2017-11-06 15:01:19+00:00,15087023444_10155545152423445,"Shalane Flanagan.
After years of medals earned on the world stage, and a grueling 9-month injury recovery, her legacy is cemented on the streets of NYC, as the first American woman in 40 years to win the #TCSNYCMarathon. 

Geoffrey Kamworor.
Made his mark in the mud as a world cross country champion. Took to the track for titles won. Turned to the roads to face the world’s best in the marathon. And set a blistering pace on the concrete of NYC, to capture his first major marathon victory.

Congratulations Shalane Flanagan and Geoffrey Kamworor on your triumphant breakthrough victories in NYC.",,5642,182,186,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155545135178445/?type=3,
2017-11-03 16:01:17+00:00,15087023444_10155536990883445,“I’m running toward the ground that I’m breaking. Towards history.” Kevin Hart is going after his first 26.2 this weekend in New York City. #breakthrough,,34070,2878,1181,https://www.facebook.com/nike/videos/10155536990883445/,
2017-11-02 04:07:10+00:00,15087023444_10155532600988445,"Never bet against Houston.
Never let some Vegas oddsmaker tell you how it’ll end up,
or the evening news tell you it’ll never be the same.
Never take on a city that has U.S. in the middle of it.
Never forget this is Houston we’re talking about.
World champions.
If you think that’s where this story ends, you’ve never been to Houston.",,13448,8135,392,https://www.facebook.com/nike/photos/a.440612488444.242105.15087023444/10155532599448445/?type=3,
2017-09-29 14:01:33+00:00,15087023444_10155433450398445,"Introducing the Nike NBA Connected Jersey.

Tap your jersey to unlock exclusive access to highlights, Nike gear, and more.

Learn more at nike.com/NBA #NIKExNBA",,14787,4510,1830,https://www.facebook.com/nike/videos/10155433450398445/,
2017-09-22 15:01:28+00:00,15087023444_10155411952358445,"""2:02:57; to many people it’s a barrier. To me, it’s slower than my personal best.""

This weekend Eliud Kipchoge chases the world record in Berlin. #Breakthrough",,4566,835,779,https://www.facebook.com/nike/videos/10155411952358445/,
2017-09-17 16:01:31+00:00,15087023444_10155397639143445,"It’s time to put ‘em on skates. #MakeEmMiss #AlphaMenace 

Russell Wilson Nike Football",,8888,2012,913,https://www.facebook.com/nike/videos/10155397639143445/,
